period,pnumber,nnumber
20200728425,0,1
20200728424,1,0
20200728423,4,1
20200728422,4,4
20200728421,0,4
20200728420,6,0
20200728419,4,6
20200728418,8,4
20200728417,4,8
20200728416,1,4
20200728415,3,1
20200728414,6,3
20200728413,1,6
20200728412,1,1
20200728411,4,1
20200728410,5,4
20200728409,6,5
20200728408,8,6
20200728407,7,8
20200728406,6,7
20200728405,5,6
20200728404,4,5
20200728403,1,4
20200728402,4,1
20200728401,3,4
20200728400,7,3
20200728399,7,7
20200728398,1,7
20200728397,3,1
20200728396,1,3
20200728395,3,1
20200728394,9,3
20200728393,7,9
20200728392,9,7
20200728391,0,9
20200728390,4,0
20200728389,3,4
20200728388,7,3
20200728387,8,7
20200728386,0,8
20200728385,5,0
20200728384,7,5
20200728383,5,7
20200728382,3,5
20200728381,2,3
20200728380,2,2
20200728379,9,2
20200728378,4,9
20200728377,4,4
20200728376,5,4
20200728375,4,5
20200728374,2,4
20200728373,9,2
20200728372,0,9
20200728371,7,0
20200728370,4,7
20200728369,4,4
20200728368,4,4
20200728367,3,4
20200728366,0,3
20200728365,2,0
20200728364,7,2
20200728363,3,7
20200728362,0,3
20200728361,9,0
20200728360,8,9
20200728359,3,8
20200728358,6,3
20200728357,1,6
20200728356,9,1
20200728355,9,9
20200728354,3,9
20200728353,8,3
20200728352,1,8
20200728351,2,1
20200728350,1,2
20200728349,2,1
20200728348,8,2
20200728347,8,8
20200728346,7,8
20200728345,2,7
20200728344,3,2
20200728343,3,3
20200728342,5,3
20200728341,3,5
20200728340,4,3
20200728339,6,4
20200728338,5,6
20200728337,1,5
20200728336,3,1
20200728335,8,3
20200728334,8,8
20200728333,6,8
20200728332,7,6
20200728331,2,7
20200728330,0,2
20200728329,8,0
20200728328,1,8
20200728327,6,1
20200728326,4,6
20200728325,4,4
20200728324,8,4
20200728323,3,8
20200728322,2,3
20200728321,4,2
20200728320,3,4
20200728319,6,3
20200728318,8,6
20200728317,7,8
20200728316,5,7
20200728315,2,5
20200728314,4,2
20200728313,2,4
20200728312,6,2
20200728311,4,6
20200728310,7,4
20200728309,0,7
20200728308,7,0
20200728307,4,7
20200728306,7,4
20200728305,2,7
20200728304,6,2
20200728303,7,6
20200728302,9,7
20200728301,9,9
20200728300,3,9
20200728299,3,3
20200728298,7,3
20200728297,9,7
20200728296,2,9
20200728295,0,2
20200728294,8,0
20200728293,8,8
20200728292,7,8
20200728291,7,7
20200728290,8,7
20200728289,2,8
20200728288,3,2
20200728287,5,3
20200728286,6,5
20200728285,4,6
20200728284,3,4
20200728283,7,3
20200728282,3,7
20200728281,2,3
20200728280,8,2
20200728279,5,8
20200728278,4,5
20200728277,9,4
20200728276,2,9
20200728275,8,2
20200728274,8,8
20200728273,8,8
20200728272,5,8
20200728271,1,5
20200728270,6,1
20200728269,8,6
20200728268,5,8
20200728267,0,5
20200728266,6,0
20200728265,8,6
20200728264,7,8
20200728263,1,7
20200728262,9,1
20200728261,1,9
20200728260,9,1
20200728259,0,9
20200728258,0,0
20200728257,0,0
20200728256,1,0
20200728255,9,1
20200728254,2,9
20200728253,7,2
20200728252,3,7
20200728251,3,3
20200728250,9,3
20200728249,9,9
20200728248,9,9
20200728247,4,9
20200728246,7,4
20200728245,6,7
20200728244,9,6
20200728243,2,9
20200728242,9,2
20200728241,8,9
20200728240,7,8
20200728239,3,7
20200728238,6,3
20200728237,4,6
20200728236,5,4
20200728235,1,5
20200728234,2,1
20200728233,2,2
